source_mic,own_city_mic,own_state_mic,own_county_mic
"the times leader, the sunday times leade - sunday dispatch",wilkes-barre,pa,‎luzerne
"the times leader, the sunday times leade - the abington journal",wilkes-barre,pa,‎luzerne
times,pawtucket-central falls,ri,providence
times,trenton,nj,mercer
times herald,norristown,pa,montgomery
times herald-record,middletown,ny,orange
times leader,wilkes-barre,pa,luzerne
times news,hendersonville,nc,henderson
times record news,wichita falls,tx,wichita
times union,albany,ny,albany
times-news,twin falls,id,twin falls
times-tribune,scranton,pa,lackawanna
topeka capital journal,topeka,ks,shawnee
traverse city record-eagle,traverse city,mi,grand traverse
trentonian,trenton,nj,mercer
tribune,san luis obispo,ca,san luis obispo
tribune democrat,johnstown,pa,cambria
tribune review,pittsburgh,pa,allegheny
tribune review - murrysville star,pittsburgh,pa,allegheny
tribune review - norwin star,pittsburgh,pa,allegheny
tribune review - penn trafford star,pittsburgh,pa,allegheny
tribune review - penn-trafford star,pittsburgh,pa,allegheny
tribune review - pine creek journal,pittsburgh,pa,allegheny
tribune review - plum advance leader,pittsburgh,pa,allegheny
tribune review - sewickley herald,pittsburgh,pa,allegheny
tribune review - south hills record,pittsburgh,pa,allegheny
tribune review - the herald,pittsburgh,pa,allegheny
tribune review - the signal item,pittsburgh,pa,allegheny
tribune review - the times express,pittsburgh,pa,allegheny
tulsa world,tulsa,ok,tulsa
tyler morning telegraph,tyler,tx,smith
u-t san diego,san diego,ca,san diego
union democrat,sonora,ca,tuolumne
valley morning star,harlingen,tx,cameron
ventura county star,camarillo,ca,ventura
victoria advocate,victoria,tx,victoria
virginian-pilot,norfolk-portsmouth-virginia beach-chesapeake,va,none
waco tribune-herald,waco,tx,mclennan
wichita eagle,wichita,ks,sedgwick
winchester star,winchester,va,frederick
winona daily news,winona,mn,winona
winston-salem journal,winston-salem,nc,forsyth
wisconsin state journal,madison,wi,dane
york daily record,york,pa,york
york dispatch/news,york,pa,york
