np_name,np_name_adj,domain
SAN JOSE MERCURY NEWS - TIMES-HERALD,san jose mercury news - times-herald,
SAN JOSE MERCURY NEWS - REPORTER,san jose mercury news - reporter,
SAN JOSE MERCURY NEWS - MARIN INDEPENDENT JOURNAL,san jose mercury news - marin independent journal,
THE TRIBUNE,the tribune,
SAN MATEO COUNTY TIMES,san mateo county times,
MARIN INDEPENDENT JOURNAL,marin independent journal,
TURLOCK JOURNAL,turlock journal,
ORANGE COUNTY REGISTER,orange county register,
REGISTER,register,
REGISTER - LIFEFOOD,register - lifefood,
REGISTER - BREA STAR-PROGRESS,register - brea star-progress,
REGISTER - IRVINE WORLD NEWS,register - irvine world news,
REGISTER - SADDLEBACK VALLEY NEWS (LAKE FOREST),register - saddleback valley news (lake forest),
REGISTER - SUNDAY PREFERRED,register - sunday preferred,
REGISTER - DANA POINT NEWS,register - dana point news,
REGISTER - NEWPORT - COSTA MESA CURRENT,register - newport - costa mesa current,
REGISTER - HUNTINGTON BEACH WAVE,register - huntington beach wave,
REGISTER - LAGUNA NEWS-POST,register - laguna news-post,
REGISTER - ALISO VIEJO NEWS,register - aliso viejo news,
REGISTER - CAPISTRANO VALLEY NEWS,register - capistrano valley news,
REGISTER - ORANGE CITY NEWS,register - orange city news,
REGISTER - LAGUNA NIGUEL NEWS,register - laguna niguel news,
REGISTER - CANYON LIFE,register - canyon life,
REGISTER - RANCHO SANTA MARGARITA NEWS,register - rancho santa margarita news,
REGISTER - SADDLEBACK VALLEY NEWS (MISSION VIEJO),register - saddleback valley news (mission viejo),
REGISTER - LADERA POST,register - ladera post,
REGISTER - TUSTIN NEWS,register - tustin news,
REGISTER - FOUNTAIN VALLEY VIEW,register - fountain valley view,
REGISTER - ANAHEIM BULLETIN,register - anaheim bulletin,
REGISTER - FULLERTON NEWS-TRIBUNE,register - fullerton news-tribune,
REGISTER - PLACENTIA NEWS-TIMES,register - placentia news-times,
REGISTER - YORBA LINDA STAR,register - yorba linda star,
THE ORANGE COUNTY REGISTER,the orange county register,ocregister.com
THE ORANGE COUNTY REGISTER - HUNTINGTON BEACH WAVE,the orange county register - huntington beach wave,
THE ORANGE COUNTY REGISTER - IRVINE WORLD NEWS,the orange county register - irvine world news,
THE ORANGE COUNTY REGISTER - SADDLEBACK VALLEY NEWS (LAKE FOREST),the orange county register - saddleback valley news (lake forest),
THE ORANGE COUNTY REGISTER - DANA POINT NEWS,the orange county register - dana point news,
THE ORANGE COUNTY REGISTER - NEWPORT COSTA MESA CURRENT,the orange county register - newport costa mesa current,
