np_name,np_name_adj,domain
THE TELEGRAPH THE SUNDAY TELEGRAPH,the telegraph the sunday telegraph,
PORTSMOUTH HERALD (MORNING & SUNDAY),portsmouth herald (morning & sunday),
"PORTSMOUTH HERALD, HERALD SUNDAY","portsmouth herald, herald sunday",
"PORTSMOUTH HERALD, SEACOAST SUNDAY","portsmouth herald, seacoast sunday",
VALLEY NEWS,valley news,
ASBURY PARK PRESS,asbury park press,app.com
ASBURY PARK PRESS - BEACH HAVEN TIMES,asbury park press - beach haven times,
ASBURY PARK PRESS - TUCKERTON BEACON,asbury park press - tuckerton beacon,
THE PRESS OF ATLANTIC CITY,the press of atlantic city,
BRIDGETON NEWS,bridgeton news,
THE NEWS OF CUMBERLAND COUNTY,the news of cumberland county,
COURIER POST,courier post,
THE RECORD - SUBURBAN TRENDS,the record - suburban trends,
THE RECORD - HERALD NEWS,the record - herald news,
"THE RECORD, HERALD NEWS","the record, herald news",
"THE RECORD, THE SUNDAY RECORD","the record, the sunday record",
JERSEY CITY JOURNAL,jersey city journal,
THE JERSEY JOURNAL,the jersey journal,
DAILY RECORD,daily record,
THE NEWARK STAR LEDGER,the newark star ledger,
THE STAR-LEDGER,the star-ledger,nj.coms
HOME NEWS TRIBUNE,home news tribune,
THE HOME NEWS TRIBUNE,the home news tribune,
"NEW JERSEY HERALD, NEW JERSEY SUNDAY HER","new jersey herald, new jersey sunday her",
BRIDGEWATER COURIER NEWS,bridgewater courier news,
THE COURIER-NEWS THE SUNDAY COURIER-NEWS,the courier-news the sunday courier-news,
"SALEM, TODAY'S SUNBEAM","salem, today's sunbeam",
THE TRENTON TIMES,the trenton times,
THE TRENTONIAN,the trentonian,
"HOY, LLC","hoy, llc",
THE DAILY JOURNAL,the daily journal,
BURLINGTON COUNTY TIMES,burlington county times,
GLOUCESTER COUNTY TIMES,gloucester county times,
SOUTH JERSEY TIMES,south jersey times,
ALAMOGORDO DAILY NEWS,alamogordo daily news,
ALBUQUERQUE JOURNAL,albuquerque journal,abqjournal.com
ALBUQUERQUE JOURNAL - MOUNTAIN VIEW TELEGRAPH,albuquerque journal - mountain view telegraph,
ALBUQUERQUE JOURNAL/TRIBUNE,albuquerque journal/tribune,
ALBUQUERQUE TRIBUNE,albuquerque tribune,
CARLSBAD CURRENT-ARGUS,carlsbad current-argus,
CLOVIS NEWS JOURNAL,clovis news journal,
"FARMINGTON, THE DAILY TIMES","farmington, the daily times",
THE GALLUP INDEPENDENT,the gallup independent,
HOBBS NEWS-SUN,hobbs news-sun,
LAS CRUCES SUN-NEWS,las cruces sun-news,
THE SANTA FE NEW MEXICAN,the santa fe new mexican,
ALBANY TIMES UNION,albany times union,
"THE TIMES UNION, SUNDAY TIMES UNION","the times union, sunday times union",
TIMES UNION,times union,
AMSTERDAM RECORDER,amsterdam recorder,
THE AUBURN CITIZEN,the auburn citizen,
THE CITIZEN (AUBURN),the citizen (auburn),
BATAVIA DAILY NEWS,batavia daily news,
BINGHAMTON PRESS & SUN-BLTN.,binghamton press & sun-bltn.,
BINGHAMTON PRESS & SUN-BULLETIN,binghamton press & sun-bulletin,
THE BUFFALO NEWS,the buffalo news,buffalonews.com
THE DAILY MESSENGER THE SUNDAY MESSENGE,the daily messenger the sunday messenge,
CATSKILL DAILY MAIL,catskill daily mail,
THE DAILY MAIL,the daily mail,
THE LEADER,the leader,
OBSERVER DAILY & SUNDAY,observer daily & sunday,
ELMIRA STAR GAZETTE,elmira star gazette,
STAR-GAZETTE,star-gazette,
LONG ISLAND NEWSDAY,long island newsday,newsday.com
FINGER LAKES TIMES,finger lakes times,
FINGER LAKES TIMES FINGER LAKES SUNDAY T,finger lakes times finger lakes sunday t,
GLENS FALLS THE POST-STAR,glens falls the post-star,
THE LEADER-HERALD THE SUNDAY LEADER HER,the leader-herald the sunday leader her,
HUDSON REGISTER STAR SUNDAY REGISTER ST,hudson register star sunday register st,
HUDSON REGISTER-STAR SUNDAY REGISTER ST,hudson register-star sunday register st,
REGISTER-STAR,register-star,
THE ITHACA JOURNAL,the ithaca journal,
THE POST-JOURNAL (MORNING) THE SUNDAY PO,the post-journal (morning) the sunday po,
"DAILY FREEMAN, SUNDAY FREEMAN","daily freeman, sunday freeman",
"KINGSTON, DAILY FREEMAN, SUNDAY FREEMAN","kingston, daily freeman, sunday freeman",
LOCKPORT UNION-SUN & JOURNAL,lockport union-sun & journal,
UNION-SUN & JOURNAL,union-sun & journal,
THE JOURNAL-REGISTER,the journal-register,
THE TIMES HERALD RECORD,the times herald record,
TIMES HERALD-RECORD,times herald-record,
DIARIO DE MEXICO EDICION USA,diario de mexico edicion usa,
EL DIARIO / LA PRENSA,el diario / la prensa,
"NEW YORK, DAILY NEWS","new york, daily news",nydailynews.com
"NEW YORK, DAILY NEWS - HORA HISPANA","new york, daily news - hora hispana",nydailynews.com
"NEW YORK, DAILY NEWS - SUNDAY VALUES","new york, daily news - sunday values",nydailynews.com
NEW YORK POST,new york post,nypost.com
THE NEW YORK SUN,the new york sun,
NIAGARA GAZETTE,niagara gazette,
NIAGARA GAZETTE NIAGARA SUNDAY,niagara gazette niagara sunday,
TONAWANDA NEWS,tonawanda news,
OLEAN TIMES HERALD,olean times herald,
THE TIMES HERALD,the times herald,
THE ONEIDA DAILY DISPATCH,the oneida daily dispatch,
THE DAILY STAR,the daily star,
PLATTSBURGH PRESS-REPUBLICAN,plattsburgh press-republican,
POUGHKEEPSIE JOURNAL,poughkeepsie journal,
DEMOCRAT AND CHRONICLE,democrat and chronicle,democratandchronicle.com
ROCHESTER DEMOCRAT AND CHRONICLE,rochester democrat and chronicle,
ROME DAILY SENTINEL,rome daily sentinel,
"SARATOGA, THE SARATOGIAN","saratoga, the saratogian",
DAILY GAZETTE,daily gazette,
SCHENECTADY GAZETTE,schenectady gazette,
STATEN ISLAND ADVANCE,staten island advance,
THE POST-STANDARD,the post-standard,syracuse.com
"TROY, THE RECORD","troy, the record",
OBSERVER-DISPATCH (MORNING & SUNDAY),observer-dispatch (morning & sunday),
WATERTOWN DAILY TIMES,watertown daily times,
THE JOURNAL NEWS,the journal news,lohud.com
ASHEBORO COURIER TRIBUNE,asheboro courier tribune,
ASHEVILLE CITIZEN-TIMES,asheville citizen-times,
THE CHARLOTTE OBSERVER,the charlotte observer,charlotteobserver.com
SAMPSON INDEPENDENT,sampson independent,
THE SAMPSON INDEPENDENT,the sampson independent,
THE INDEPENDENT TRIBUNE,the independent tribune,
THE DAILY RECORD,the daily record,
"DURHAM, THE HERALD - SUN","durham, the herald - sun",
THE DAILY ADVANCE,the daily advance,
THE FAYETTEVILLE OBSERVER,the fayetteville observer,
GASTON GAZETTE,gaston gazette,
GASTONIA GAZETTE,gastonia gazette,
GOLDSBORO-NEWS ARGUS,goldsboro-news argus,
"GREENSBORO, NEWS & RECORD","greensboro, news & record",
GREENVILLE DAILY REFLECTOR,greenville daily reflector,
THE DAILY DISPATCH,the daily dispatch,
HENDERSONVILLE TIMES-NEWS,hendersonville times-news,
HICKORY DAILY RECORD,hickory daily record,
THE FREE PRESS,the free press,
LENOIR NEWS-TOPIC,lenoir news-topic,
NEWS-TOPIC,news-topic,
THE LEXINGTON DISPATCH,the lexington dispatch,
"LUMBERTON, THE ROBESONIAN","lumberton, the robesonian",
THE ENQUIRER-JOURNAL,the enquirer-journal,
THE MONROE ENQUIRER JOURNAL,the monroe enquirer journal,
MORGANTON NEWS HERALD,morganton news herald,
NEW BERN SUN-JOURNAL,new bern sun-journal,
"RALEIGH, THE NEWS & OBSERVER","raleigh, the news & observer",
THE NEWS & OBSERVER,the news & observer,newsobserver.com
RICHMOND COUNTY DAILY JOURNAL,richmond county daily journal,
ROCKY MOUNT TELEGRAM,rocky mount telegram,
SALISBURY POST,salisbury post,
THE SANFORD HERALD,the sanford herald,
STATESVILLE RECORD & LANDMARK,statesville record & landmark,
WASHINGTON DAILY NEWS,washington daily news,
STARNEWS MEDIA,starnews media,
THE WILSON DAILY TIMES,the wilson daily times,
WINSTON-SALEM JOURNAL,winston-salem journal,
BISMARCK TRIBUNE,bismarck tribune,
THE FORUM (FARGO),the forum (fargo),inforum.com
GRAND FORKS HERALD,grand forks herald,
MINOT DAILY NEWS,minot daily news,
AKRON BEACON JOURNAL,akron beacon journal,beaconjournal.com
ALLIANCE REVIEW,alliance review,
STAR-BEACON,star-beacon,
THE STAR-BEACON,the star-beacon,
ASHLAND TIMES GAZETTE,ashland times gazette,
ATHENS MESSENGER,athens messenger,
"THE ATHENS MESSENGER, THE SUNDAY MESSENG","the athens messenger, the sunday messeng",
"THE ATHENS MESSENGER, THE SUNDAY MESSENGER","the athens messenger, the sunday messenger",
BELLEFONTAINE EXAMINER,bellefontaine examiner,
BOWLING GREEN SENTINEL-TRIBUNE,bowling green sentinel-tribune,
THE BRYAN TIMES,the bryan times,
TELEGRAPH - FORUM (EVENING),telegraph - forum (evening),
THE DAILY JEFFERSONIAN,the daily jeffersonian,
THE CANTON REPOSITORY,the canton repository,
CHILLICOTHE GAZETTE,chillicothe gazette,
CINCINNATI ENQUIRER,cincinnati enquirer,cincinnati.com
CINCINNATI POST,cincinnati post,
THE CIRCLEVILLE HERALD,the circleville herald,
THE PLAIN DEALER,the plain dealer,cleveland.com
"THE PLAIN DEALER, PLAIN DEALER SUNDAY","the plain dealer, plain dealer sunday",
MANSFIELD NEWS-JOURNAL,mansfield news-journal,
THE COLUMBUS DISPATCH,the columbus dispatch,dispatch.com
THE COSHOCTON TRIBUNE,the coshocton tribune,
DAYTON DAILY NEWS,dayton daily news,daytondailynews.com
DEFIANCE CRESCENT-NEWS,defiance crescent-news,
"NEW PHILADELPHIA, THE TIMES REPORTER","new philadelphia, the times reporter",
THE REVIEW,the review,
THE CHRONICLE-TELEGRAM,the chronicle-telegram,
FINDLAY COURIER,findlay courier,
FREMONT NEWS-MESSENGER,fremont news-messenger,
GALLIPOLIS DAILY TRIBUNE SUNDAY TIMES-SE,gallipolis daily tribune sunday times-se,
GREENVILLE DAILY ADVOCATE,greenville daily advocate,
HAMILTON NEWSJOURNAL,hamilton newsjournal,
"HAMILTON, JOURNAL-NEWS","hamilton, journal-news",
JOURNAL NEWS,journal news,
JOURNAL-NEWS,journal-news,
JOURNALNEWS,journalnews,
LANCASTER EAGLE - GAZETTE,lancaster eagle - gazette,
THE LIMA NEWS,the lima news,
MORNING JOURNAL,morning journal,
THE LOGAN DAILY NEWS,the logan daily news,
"LORAIN, THE MORNING JOURNAL","lorain, the morning journal",
THE MARIETTA TIMES,the marietta times,
THE MARION STAR,the marion star,
"MARTINS FERRY, THE TIMES LEADER","martins ferry, the times leader",
MASSILLON INDEPENDENT,massillon independent,
THE MIDDLETOWN JOURNAL,the middletown journal,
MOUNT VERNON NEWS,mount vernon news,
NORWALK REFLECTOR,norwalk reflector,
THE PIQUA DAILY CALL,the piqua daily call,
THE DAILY SENTINEL,the daily sentinel,
PORT CLINTON NEWS HERALD,port clinton news herald,
PORTSMOUTH DAILY TIMES,portsmouth daily times,
RAVENNA RECORD - COURIER,ravenna record - courier,
RECORD - COURIER,record - courier,
SANDUSKY REGISTER (EVENING) SUNDAY REGIS,sandusky register (evening) sunday regis,
SIDNEY DAILY NEWS,sidney daily news,
THE SIDNEY DAILY NEWS,the sidney daily news,
SPRINGFIELD NEWS-SUN,springfield news-sun,
HERALD - STAR,herald - star,
ADVERTISER TRIBUNE,advertiser tribune,
TIFFIN ADVERTISER TRIBUNE,tiffin advertiser tribune,
THE BLADE,the blade,toledoblade.com
TROY DAILY NEWS,troy daily news,
URBANA DAILY CITIZEN,urbana daily citizen,
TRIBUNE CHRONICLE,tribune chronicle,
LAKE COUNTY NEWS HERALD,lake county news herald,
WOOSTER DAILY RECORD,wooster daily record,
XENIA DAILY GAZETTE,xenia daily gazette,
THE VINDICATOR,the vindicator,
ZANESVILLE TIMES RECORDER,zanesville times recorder,
BARTLESVILLE EXAMINER-ENTERPRISE,bartlesville examiner-enterprise,
ENID NEWS AND EAGLE,enid news and eagle,
THE LAWTON CONSTITUTION SUNDAY CONSTITUTION,the lawton constitution sunday constitution,
THE LAWTON CONSTITUTION THE SUNDAY CONST,the lawton constitution the sunday const,
MCALESTER NEWS-CAPITAL,mcalester news-capital,
MCALESTER NEWS-CAPITAL & DEMOCRAT,mcalester news-capital & democrat,
NEWS-CAPITAL & DEMOCRAT,news-capital & democrat,
MUSKOGEE PHOENIX,muskogee phoenix,
MUSKOGEE PHOENIX-TIME DEMOCRAT,muskogee phoenix-time democrat,
NORMAN TRANSCRIPT,norman transcript,
THE NORMAN TRANSCRIPT,the norman transcript,
THE JOURNAL RECORD,the journal record,
THE DAILY OKLAHOMAN,the daily oklahoman,
THE OKLAHOMAN,the oklahoman,oklahoman.com
THE PONCA CITY NEWS,the ponca city news,
SHAWNEE NEWS-STAR,shawnee news-star,
STILLWATER NEWS PRESS,stillwater news press,
TULSA WORLD,tulsa world,tulsaworld.com
ALBANY DEMOCRAT - HERALD,albany democrat - herald,
ALBANY DEMOCRAT - HERALD/MID-VALLEY SUND,albany democrat - herald/mid-valley sund,
ALBANY DEMOCRAT-HERALD / MID-VALLEY SUNDAY,albany democrat-herald / mid-valley sunday,
ASHLAND DAILY TIDINGS,ashland daily tidings,
THE DAILY ASTORIAN,the daily astorian,
BAKER CITY HERALD,baker city herald,
THE WORLD,the world,
CORVALLIS GAZETTE-TIMES,corvallis gazette-times,
THE REGISTER-GUARD,the register-guard,
GRANTS PASS DAILY COURIER,grants pass daily courier,
"KLAMATH FALLS, HERALD AND NEWS","klamath falls, herald and news",
MAIL TRIBUNE,mail tribune,
PENDLETON EAST OREGONIAN,pendleton east oregonian,
THE OREGONIAN,the oregonian,oregonlive.com
THE OREGONIAN - FOREST GROVE LEADER,the oregonian - forest grove leader,
THE ORGONIAN,the orgonian,
THE NEWS REVIEW OF DOUGLAS COUNTY,the news review of douglas county,
THE NEWS-REVIEW,the news-review,
STATESMAN JOURNAL,statesman journal,
ALLENTOWN MORNING CALL,allentown morning call,mcall.com
ALTOONA MIRROR,altoona mirror,
BEAVER COUNTY TIMES,beaver county times,
BUTLER EAGLE,butler eagle,
THE SENTINEL,the sentinel,
CHAMBERSBURG PUBLIC OPINION,chambersburg public opinion,
PUBLIC OPINION,public opinion,
"COURIER EXPRESS, TRI COUNTY SUNDAY","courier express, tri county sunday",
DELAWARE COUNTY TIMES,delaware county times,
CONNELLSVILLE COURIER,connellsville courier,
THE INTELLIGENCER,the intelligencer,
"EASTON, THE EXPRESS-TIMES","easton, the express-times",
THE EXPRESS-TIMES,the express-times,
ELLWOOD CITY LEDGER,ellwood city ledger,
ERIE TIMES-NEWS,erie times-news,
ERIE TIMES-NEWS - GOCRAWFORDCOUNTY.COM,erie times-news - gocrawfordcounty.com,
GETTYSBURG TIMES,gettysburg times,
GREENSBURG TRIBUNE REVIEW,greensburg tribune review,triblive.com
TRIBUNE REVIEW,tribune review,triblive.com
TRIBUNE REVIEW - VALLEY NEWS DISPATCH,tribune review - valley news dispatch,triblive.com
TRIBUNE REVIEW - NORTH JOURNAL,tribune review - north journal,triblive.com
TRIBUNE REVIEW - BRIDGEVILLE AREA NEWS,tribune review - bridgeville area news,triblive.com
TRIBUNE REVIEW - THE VALLEY INDEPENDENT,tribune review - the valley independent,triblive.com
TRIBUNE REVIEW - PINE CREEK JOURNAL,tribune review - pine creek journal,triblive.com
TRIBUNE REVIEW - THE DAILY NEWS,tribune review - the daily news,triblive.com
TRIBUNE REVIEW - SEWICKLEY HERALD,tribune review - sewickley herald,triblive.com
TRIBUNE REVIEW - PENN-TRAFFORD STAR,tribune review - penn-trafford star,triblive.com
TRIBUNE REVIEW - THE SIGNAL ITEM,tribune review - the signal item,triblive.com
TRIBUNE REVIEW - THE TIMES EXPRESS,tribune review - the times express,triblive.com
TRIBUNE REVIEW - MCKNIGHT JOURNAL,tribune review - mcknight journal,triblive.com
TRIBUNE REVIEW - PLUM ADVANCE LEADER,tribune review - plum advance leader,triblive.com
TRIBUNE REVIEW - NORWIN STAR,tribune review - norwin star,triblive.com
TRIBUNE REVIEW - MURRYSVILLE STAR,tribune review - murrysville star,triblive.com
TRIBUNE REVIEW - THE MOUNT PLEASANT JOURNAL,tribune review - the mount pleasant journal,triblive.com
TRIBUNE REVIEW - LEADER TIMES,tribune review - leader times,triblive.com
TRIBUNE REVIEW - THE LIGONIER ECHO,tribune review - the ligonier echo,triblive.com
TRIBUNE REVIEW - CRANBERRY JOURNAL,tribune review - cranberry journal,triblive.com
HANOVER EVENING SUN,hanover evening sun,
"THE PATRIOT NEWS, SUNDAY PATRIOT NEWS","the patriot news, sunday patriot news",
"STANDARD-SPEAKER, STANDARD-SPEAKER SUNDA","standard-speaker, standard-speaker sunda",
THE INDIANA GAZETTE,the indiana gazette,
THE TRIBUNE-DEMOCRAT,the tribune-democrat,
LEADER TIMES,leader times,
INTELLIGENCER JOURNAL/LANCASTER NEW ERA,intelligencer journal/lancaster new era,
"LANCASTER NEW ERA, INTELLIGENCER JOURNAL","lancaster new era, intelligencer journal",
LANCASTER NEW ERA,lancaster new era,
INTELLIGENCER JOURNAL,intelligencer journal,
LANSDALE REPORTER,lansdale reporter,
LEHIGHTON TIMES NEWS,lehighton times news,
THE TIMES NEWS,the times news,
LEBANON DAILY NEWS,lebanon daily news,
LEWISTOWN SENTINEL,lewistown sentinel,
BUCKS COUNTY COURIER TIMES,bucks county courier times,
LOCK HAVEN EXPRESS,lock haven express,
MCKEESPORT DAILY NEWS,mckeesport daily news,
THE MEADVILLE TRIBUNE,the meadville tribune,
MONESSEN VALLEY INDEPENDENT,monessen valley independent,
NEW CASTLE NEWS,new castle news,
"NEW KENSINGTON, VALLEY NEWS DISPATCH","new kensington, valley news dispatch",
VALLEY NEWS DISPATCH,valley news dispatch,
NORRISTOWN TIMES HERALD,norristown times herald,
PHILADELPHIA INQUIRER,philadelphia inquirer,
PHILADELPHIA INQUIRER - THE PHILADELPHIA DAILY NEWS,philadelphia inquirer - the philadelphia daily news,inquirer.com
THE PHILADELPHIA DAILY NEWS,the philadelphia daily news,
"PHOENIXVILLE, THE PHOENIX","phoenixville, the phoenix",
PITTSBURGH POST-GAZETTE,pittsburgh post-gazette,post-gazette.com
PITTSBURGH POST-GAZETTE - SUNDAY EXTRA,pittsburgh post-gazette - sunday extra,
POTTSTOWN MERCURY,pottstown mercury,
THE MERCURY,the mercury,
POTTSVILLE REPUBLICAN & EVENING HERALD,pottsville republican & evening herald,
REPUBLICAN & HERALD,republican & herald,
REPUBLICAN HERALD,republican herald,
READING EAGLE,reading eagle,
THE TIMES-TRIBUNE,the times-tribune,
THE TRIBUNE/THE SCRANTON TIMES,the tribune/the scranton times,
THE SCRANTON TIMES,the scranton times,
THE SCRANTON TRIBUNE,the scranton tribune,
THE SHARON HERALD,the sharon herald,
THE NEWS-ITEM,the news-item,
DAILY AMERICAN,daily american,
"STATE COLLEGE, CENTRE DAILY TIMES","state college, centre daily times",
"POCONO RECORD, STROUDSBURG","pocono record, stroudsburg",
THE POCONO RECORD,the pocono record,
SUNBURY DAILY ITEM,sunbury daily item,
HERALD STANDARD,herald standard,
HERALD-STANDARD,herald-standard,
HERALDSTANDARD.COM,heraldstandard.com,
UNIONTOWN HERALD STANDARD,uniontown herald standard,
TIMES OBSERVER,times observer,
OBSERVER REPORTER,observer reporter,
DAILY LOCAL NEWS,daily local news,
WEST CHESTER DAILY LOCAL NEWS,west chester daily local news,
WILKES-BARRE CITIZENS' VOICE,wilkes-barre citizens' voice,
LUZERNE COUNTY NEWSPAPERS,luzerne county newspapers,
THE CITIZENS' VOICE,the citizens' voice,
TIMES-SHAMROCK NEWSPAPERS,times-shamrock newspapers,
"THE TIMES LEADER, THE SUNDAY TIMES LEADE","the times leader, the sunday times leade",
"THE TIMES LEADER, THE SUNDAY TIMES LEADE - THE ABINGTON JOURNAL","the times leader, the sunday times leade - the abington journal",
"THE TIMES LEADER, THE SUNDAY TIMES LEADE - BAZAAR","the times leader, the sunday times leade - bazaar",
SUN-GAZETTE,sun-gazette,
YORK DAILY RECORD/SUNDAY,york daily record/sunday,
YORK DAILY RECORD/YORK DISPATCH/NEWS,york daily record/york dispatch/news,
YORK DAILY RECORD,york daily record,
YORK DISPATCH,york dispatch,
YORK DISPATCH/NEWS,york dispatch/news,
NEWPORT DAILY NEWS,newport daily news,
"PAWTUCKET, THE TIMES","pawtucket, the times",
PROVIDENCE JRNL/PROVIDENCE SUNDAY JRNL,providence jrnl/providence sunday jrnl,providencejournal.com
PROVIDENCE JRNL/PROVIDENCE SUNDAY JRNL - PROJOEXPRESS,providence jrnl/providence sunday jrnl - projoexpress,providencejournal.com
PROVIDENCE JRNL/PROVIDENCE SUNDAY JRNL - JOURNAL EXPRESS,providence jrnl/providence sunday jrnl - journal express,providencejournal.com
PROVIDENCE JRNL/PROVIDENCE SUNDAY JRNL.,providence jrnl/providence sunday jrnl.,providencejournal.com
WESTERLY SUN,westerly sun,
KENT COUNTY DAILY TIMES,kent county daily times,
THE CALL,the call,
AIKEN STANDARD,aiken standard,
ANDERSON INDEPENDENT-MAIL,anderson independent-mail,
THE BEAUFORT GAZETTE,the beaufort gazette,
CHARLESTON THE POST AND COURIER,charleston the post and courier,postandcourier.com
"COLUMBIA, THE STATE","columbia, the state",thestate.com
THE STATE,the state,thestate.com
THE STATE - YES! YOUR ESSENTIAL SHOPPER,the state - yes! your essential shopper,thestate.com
MORNING NEWS,morning news,
GREENVILLE NEWS,greenville news,
GREENVILLE NEWS - YES! YOUR ESSENTIAL SHOPPER,greenville news - yes! your essential shopper,
GREENWOOD INDEX JOURNAL,greenwood index journal,
HILTON HEAD ISLAND PACKET,hilton head island packet,
THE ISLAND PACKET,the island packet,
MYRTLE BEACH THE SUN NEWS,myrtle beach the sun news,
THE TIMES & DEMOCRAT,the times & democrat,
THE HERALD,the herald,
SPARTANBURG HERALD-JOURNAL,spartanburg herald-journal,
SUMTER THE ITEM,sumter the item,
ABERDEEN AMERICAN NEWS,aberdeen american news,
THE BROOKINGS REGISTER,the brookings register,
PLAINSMAN,plainsman,
RAPID CITY JOURNAL,rapid city journal,
ARGUS LEADER,argus leader,argusleader.com
"SIOUX FALLS, ARGUS LEADER","sioux falls, argus leader",
WATERTOWN PUBLIC OPINION,watertown public opinion,
ATHENS DAILY POST-ATHENIAN,athens daily post-athenian,
CHATTANOOGA TIMES FREE PRESS,chattanooga times free press,
CLARKSVILLE LEAF CHRONICLE,clarksville leaf chronicle,
CLEVELAND DAILY BANNER,cleveland daily banner,
COLUMBIA DAILY HERALD,columbia daily herald,
HERALD CITIZEN,herald citizen,
HERALD-CITIZEN,herald-citizen,
THE GREENEVILLE SUN,the greeneville sun,
THE JACKSON SUN,the jackson sun,
JOHNSON CITY PRESS,johnson city press,
KINGSPORT TIMES-NEWS,kingsport times-news,
KNOXVILLE NEWS SENTINEL,knoxville news sentinel,
KNOXVILLE NEWS-SENTINEL,knoxville news-sentinel,knoxnews.com
THE KNOXVILLE NEWS-SENTINEL,the knoxville news-sentinel,
MEMPHIS COMMERCIAL APPEAL,memphis commercial appeal,
THE COMMERCIAL APPEAL,the commercial appeal,commercialappeal.com
CITIZEN TRIBUNE,citizen tribune,
MURFREESBORO DAILY NEWS JOURNAL,murfreesboro daily news journal,
THE DAILY NEWS JOURNAL,the daily news journal,
"NASHVILLE, THE TENNESSEAN","nashville, the tennessean",
THE TENNESSEAN,the tennessean,tennessean.com
THE TENNESSEAN - YES - YOUR ESSENTIAL SHOPPER,the tennessean - yes - your essential shopper,
ABILENE REPORTER-NEWS,abilene reporter-news,
AMARILLO GLOBE-NEWS,amarillo globe-news,
AUSTIN AMERICAN STATESMAN,austin american statesman,
AUSTIN AMERICAN-STATESMAN,austin american-statesman,statesman.com
AUSTIN AMERICAN-STATESMAN - THE BASTROP ADVERTISER,austin american-statesman - the bastrop advertiser,
AUSTIN AMERICAN-STATESMAN - CEDAR PARK-LEANDER STATESMAN,austin american-statesman - cedar park-leander statesman,
AUSTIN AMERICAN-STATESMAN - THE PFLUGERVILLE PFLAG,austin american-statesman - the pflugerville pflag,
AUSTIN AMERICAN-STATESMAN - THE SMITHVILLE TIMES,austin american-statesman - the smithville times,
AUSTIN AMERICAN-STATESMAN - SHOPPING TODAY,austin american-statesman - shopping today,
BEAUMONT ENTERPRISE,beaumont enterprise,
THE BEAUMONT ENTERPRISE,the beaumont enterprise,
BIG SPRING HERALD,big spring herald,
THE EAGLE,the eagle,
THE FACTS,the facts,
CORPUS CHRISTI CALLER-TIMES,corpus christi caller-times,
THE DALLAS MORNING NEWS,the dallas morning news,dallasnews.com
EL PASO TIMES,el paso times,
EL PASO TIMES - EL PASO Y MAS,el paso times - el paso y mas,
FORT WORTH STAR-TELEGRAM,fort worth star-telegram,star-telegram.com
FORT WORTH STAR-TELEGRAM - LA ESTRELLA EN CASA,fort worth star-telegram - la estrella en casa,
FORT WORTH STAR-TELEGRAM - ARLINGTON CITIZEN-JOURNAL,fort worth star-telegram - arlington citizen-journal,
FORT WORTH STAR-TELEGRAM - MANSFIELD NEWS-MIRROR,fort worth star-telegram - mansfield news-mirror,
FORT WORTH STAR-TELEGRAM - WEATHERFORD TELEGRAM,fort worth star-telegram - weatherford telegram,
FORT WORTH STAR-TELEGRAM - THE COLLEYVILLE COURIER,fort worth star-telegram - the colleyville courier,
FORT WORTH STAR-TELEGRAM - THE GRAPEVINE COURIER,fort worth star-telegram - the grapevine courier,
FORT WORTH STAR-TELEGRAM - THE TIMES REGISTER,fort worth star-telegram - the times register,
FORT WORTH STAR-TELEGRAM - THE SOUTHLAKE JOURNAL,fort worth star-telegram - the southlake journal,
FORT WORTH STAR-TELEGRAM - YES! YOUR ESSENTIAL SHOPPER,fort worth star-telegram - yes! your essential shopper,
FORT WORTH STAR-TELEGRAM - THE KELLER CITIZEN,fort worth star-telegram - the keller citizen,
GREENVILLE HERALD-BANNER,greenville herald-banner,
HERALD-BANNER,herald-banner,
BROWNSVILLE HERALD,brownsville herald,
EL NUEVO HERALDO,el nuevo heraldo,
MC ALLEN MONITOR,mc allen monitor,
THE MONITOR,the monitor,
THE MONITOR - MID VALLEY TOWN CRIER,the monitor - mid valley town crier,
LA FRONTERA,la frontera,
HARLINGEN VALLEY MORNING STAR,harlingen valley morning star,
VALLEY MORNING STAR,valley morning star,
HOUSTON CHRONICLE,houston chronicle,chron.com
HOUSTON CHRONICLE,houston chronicle,houstonchronicle.com
HOUSTON CHRONICLE - LA VOZ DE HOUSTON,houston chronicle - la voz de houston,chron.com
HOUSTON CHRONICLE - LA VOZ DE HOUSTON,houston chronicle - la voz de houston,houstonchronicle.com
HOUSTON CHRONICLE - ULTIMATE,houston chronicle - ultimate,chron.com
HOUSTON CHRONICLE - ULTIMATE,houston chronicle - ultimate,houstonchronicle.com
EL DIA NEWS,el dia news,
KILLEEN DAILY HERALD,killeen daily herald,
LAREDO MORNING TIMES,laredo morning times,
LONGVIEW NEWS-JOURNAL,longview news-journal,
LUBBOCK AVALANCHE JOURNAL,lubbock avalanche journal,
"MARSHALL, NEWS MESSENGER","marshall, news messenger",
MIDLAND REPORTER - TELEGRAM,midland reporter - telegram,
ODESSA AMERICAN,odessa american,
THE ODESSA AMERICAN,the odessa american,
THE ORANGE LEADER,the orange leader,
HERALD-ZEITUNG,herald-zeitung,
PALESTINE HERALD-PRESS,palestine herald-press,
PORT ARTHUR NEWS,port arthur news,
THE PORT ARTHUR NEWS,the port arthur news,
SAN ANGELO STANDARD-TIMES,san angelo standard-times,
SAN ANTONIO EXPRESS-NEWS,san antonio express-news,mysanantonio.com
SAN ANTONIO EXPRESS-NEWS - THE SAN ANTONIO LIGHT,san antonio express-news - the san antonio light,
